,Age,Income,Location,Sex,Year,count,cumulative_percent,percentage
181,25 to 34 years,$125-<150k,"Halifax, Nova Scotia",Males,2016.0,435.0,0.9911436272622256,0.016750096264921063
182,25 to 34 years,$150-<175k,"Halifax, Nova Scotia",Males,2016.0,75.0,0.9940315748941085,0.002887947631882942
183,25 to 34 years,$175-<200k,"Halifax, Nova Scotia",Males,2016.0,75.0,0.9969195225259915,0.002887947631882942
184,25 to 34 years,$200-225k,"Halifax, Nova Scotia",Males,2016.0,25.0,0.9978821717366191,0.0009626492106276473
185,25 to 34 years,225-250k,"Halifax, Nova Scotia",Males,2016.0,25.0,0.9988448209472467,0.0009626492106276473
186,25 to 34 years,>250k,"Halifax, Nova Scotia",Males,2016.0,30.0,0.9999999999999999,0.0011551790527531767
187,35 to 44 years,$0-<25k,"Halifax, Nova Scotia",Males,2016.0,4380.0,0.1863037005529562,0.1863037005529562
188,35 to 44 years,$25-<50k,"Halifax, Nova Scotia",Males,2016.0,5520.0,0.42109740535942153,0.23479370480646533
189,35 to 44 years,$50-<75k,"Halifax, Nova Scotia",Males,2016.0,5580.0,0.6584432156529136,0.23734581029349214
190,35 to 44 years,$75-<100k,"Halifax, Nova Scotia",Males,2016.0,4530.0,0.8511271799234368,0.19268396427052317
191,35 to 44 years,$100-<125k,"Halifax, Nova Scotia",Males,2016.0,1275.0,0.9053594215227563,0.05423224159931944
192,35 to 44 years,$125-<150k,"Halifax, Nova Scotia",Males,2016.0,1275.0,0.9595916631220758,0.05423224159931944
193,35 to 44 years,$150-<175k,"Halifax, Nova Scotia",Males,2016.0,250.0,0.9702254359846875,0.010633772862611655
194,35 to 44 years,$175-<200k,"Halifax, Nova Scotia",Males,2016.0,250.0,0.9808592088472992,0.010633772862611655
195,35 to 44 years,$200-225k,"Halifax, Nova Scotia",Males,2016.0,105.0,0.985325393449596,0.004466184602296895
196,35 to 44 years,225-250k,"Halifax, Nova Scotia",Males,2016.0,105.0,0.9897915780518929,0.004466184602296895
197,35 to 44 years,>250k,"Halifax, Nova Scotia",Males,2016.0,240.0,1.0,0.010208421948107189
198,45 to 54 years,$0-<25k,"Halifax, Nova Scotia",Males,2016.0,4740.0,0.18301158301158302,0.18301158301158302
199,45 to 54 years,$25-<50k,"Halifax, Nova Scotia",Males,2016.0,5550.0,0.3972972972972973,0.21428571428571427
200,45 to 54 years,$50-<75k,"Halifax, Nova Scotia",Males,2016.0,5630.0,0.6146718146718146,0.21737451737451738
201,45 to 54 years,$75-<100k,"Halifax, Nova Scotia",Males,2016.0,4690.0,0.7957528957528958,0.1810810810810811
202,45 to 54 years,$100-<125k,"Halifax, Nova Scotia",Males,2016.0,1750.0,0.8633204633204633,0.06756756756756757
203,45 to 54 years,$125-<150k,"Halifax, Nova Scotia",Males,2016.0,1750.0,0.9308880308880308,0.06756756756756757
204,45 to 54 years,$150-<175k,"Halifax, Nova Scotia",Males,2016.0,460.0,0.9486486486486486,0.01776061776061776
205,45 to 54 years,$175-<200k,"Halifax, Nova Scotia",Males,2016.0,460.0,0.9664092664092664,0.01776061776061776
206,45 to 54 years,$200-225k,"Halifax, Nova Scotia",Males,2016.0,175.0,0.9731660231660232,0.006756756756756757
207,45 to 54 years,225-250k,"Halifax, Nova Scotia",Males,2016.0,175.0,0.97992277992278,0.006756756756756757
208,45 to 54 years,>250k,"Halifax, Nova Scotia",Males,2016.0,520.0,1.0,0.020077220077220077
209,55 to 64 years,$0-<25k,"Halifax, Nova Scotia",Males,2016.0,5700.0,0.2271821442805899,0.2271821442805899
210,55 to 64 years,$25-<50k,"Halifax, Nova Scotia",Males,2016.0,6260.0,0.4766839378238342,0.2495017935432443
211,55 to 64 years,$50-<75k,"Halifax, Nova Scotia",Males,2016.0,5570.0,0.698684734954165,0.2220007971303308
212,55 to 64 years,$75-<100k,"Halifax, Nova Scotia",Males,2016.0,3330.0,0.8314069350338781,0.13272220007971303
213,55 to 64 years,$100-<125k,"Halifax, Nova Scotia",Males,2016.0,1265.0,0.8818254284575529,0.05041849342367477
214,55 to 64 years,$125-<150k,"Halifax, Nova Scotia",Males,2016.0,1265.0,0.9322439218812276,0.05041849342367477
215,55 to 64 years,$150-<175k,"Halifax, Nova Scotia",Males,2016.0,450.0,0.9501793543244321,0.017935432443204464
216,55 to 64 years,$175-<200k,"Halifax, Nova Scotia",Males,2016.0,450.0,0.9681147867676366,0.017935432443204464
217,55 to 64 years,$200-225k,"Halifax, Nova Scotia",Males,2016.0,165.0,0.9746911119968116,0.00657632522917497
